admin_id,lan_name,east_west,mean_livespace_district,mean_vacancy_district,total_population,income_weighted_sum,mean_income_district,mean_green_area_district
08212,Baden-Württemberg,West,57.4796240602,3.03237704918,305408,0,0,4973500
08215,Baden-Württemberg,West,62.7448664270125,3.538564834045,451114,11083419000,24568.99808030786,109028.125
08216,Baden-Württemberg,West,64.38245308006957,4.692839846782609,230071,5397422000,23459.810232493448,0
08221,Baden-Württemberg,West,53.942027027,7.21569444444,153809,0,0,1256500
08222,Baden-Württemberg,West,54.7899137931,4.54644859813,313693,0,0,3691500
08225,Baden-Württemberg,West,64.83685742842962,5.212046459664444,144470,3122401000,21612.798504879906,0
08226,Baden-Württemberg,West,63.810815069764814,4.419900301381296,554521,14135075000,25490.603602027695,90629.62962962962
08231,Baden-Württemberg,West,56.0593442623,5.97963636364,133110,0,0,1530700
08235,Baden-Württemberg,West,60.310459371344,5.6994291889664,159421,3737797000,23446.07674020361,0
08236,Baden-Württemberg,West,63.479678903935714,4.672571556274286,197899,4930797000,24915.72468784582,40653.571428571435
08237,Baden-Württemberg,West,61.35136659456875,6.402269220250625,120401,2833207000,23531.424157606663,0
08311,Baden-Württemberg,West,56.3510784314,3.33288888889,233040,0,0,4347500
08315,Baden-Württemberg,West,60.44626444799,3.2553304673200603,268937,6518562000,24238.249106668103,101138
08316,Baden-Württemberg,West,60.1351045658375,2.70890962562075,166850,3977047000,23836.06233143542,79220.83333333334
08317,Baden-Württemberg,West,59.87896405037692,4.06027520069125,437242,9730080000,22253.305949565685,59857.69230769231
08325,Baden-Württemberg,West,64.63577088495238,5.260827612871905,138933,3309082000,23817.825858507338,0
08326,Baden-Württemberg,West,62.007760138305,5.3999789347045,210596,4741898000,22516.562517806608,106410
08327,Baden-Württemberg,West,64.41132548817143,4.292506689482857,142895,3486514000,24399.13222995906,0
08335,Baden-Württemberg,West,62.71624975241034,3.0825797734324136,417128,10183917000,24414.369210410234,148375.8620689655
08336,Baden-Württemberg,West,61.67651552705143,4.200091270889429,233949,6157677000,26320.595514406985,0
08337,Baden-Württemberg,West,65.60542175025626,6.347624411727187,170100,4062884000,23885.267489711936,0
08415,Baden-Württemberg,West,62.24286655516296,5.563298611824444,289654,6934874000,23941.923812548765,92244.44444444444
08416,Baden-Württemberg,West,62.53872667606,4.158619172598667,229642,5765285000,25105.53383091943,80733.33333333333
08417,Baden-Württemberg,West,66.61175605738,5.7760107759156,191793,4383843000,22857.158499006742,0
08421,Baden-Württemberg,West,57.5581927711,4.12945205479,127116,0,0,2103800
08425,Baden-Württemberg,West,61.47973476784,4.486110909499272,198553,4854828000,24451.04329826293,18989.090909090908
08426,Baden-Württemberg,West,65.53284715584445,4.076751118596222,203323,5127886000,25220.39316752163,0
08435,Baden-Württemberg,West,63.126281932892,6.0932596976788,234749,6478455000,27597.369956847528,29656
08436,Baden-Württemberg,West,63.3978419813,4.389377945805718,285421,6972324000,24428.209557110375,0
08437,Baden-Württemberg,West,65.608018776712,4.244720348026,131515,2933540000,22305.74459187165,0
09161,Bayern,West,56.630625,3.51157303371,136468,0,0,2254600
09162,Bayern,West,50.3750825083,2.75296928328,1478638,0,0,29788100
09163,Bayern,West,53.1413513514,3.22970588235,63284,0,0,658000
09171,Bayern,West,68.68239152249583,2.956567254504625,111881,2600191000,23240.684298495722,NA
09172,Bayern,West,60.35932570745882,3.221089997585706,103867,2275432000,21907.16974592508,30.769230769230766
09173,Bayern,West,67.79671546510434,3.117702767414087,129131,3599569000,27875.328155129286,0
09174,Bayern,West,61.48862686272353,2.595840550229,150689,4474515000,29693.706906277166,177035.29411764708
09175,Bayern,West,63.7264908154625,2.6208300277818335,141747,4558053000,32156.25727528625,79729.16666666667
09176,Bayern,West,65.0388620637,4.2398181771029035,133409,3606888000,27036.31689016483,44432.258064516136
09177,Bayern,West,65.24487073988846,2.4601759896262694,137644,3876185000,28160.944174827815,97976.92307692306
09178,Bayern,West,66.07286560098333,2.3600901361497084,180064,4983901000,27678.497645281677,141383.3333333333
09179,Bayern,West,63.01707980340435,2.986835806076087,214553,6309888000,29409.460599478916,145026.08695652173
09180,Bayern,West,57.854603666608696,3.7853238846252175,89200,2159940000,24214.57399103139,0
