Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;EEC-6 third countries (until 1972-12-31);8945;e;8330;e;17275;e
;;;Africa;510;e;355;e;865;e
;;;North Africa;145;e;80;e;225;e
;;;West Africa;205;e;145;e;350;e
;;;Central Africa;30;e;30;e;60;e
;;;East Africa;120;e;85;e;205;e
;;;Southern Africa;10;e;20;e;25;e
;;;America;115;e;190;e;310;e
;;;North America;50;e;60;e;110;e
;;;Central America and Caribbean;30;e;45;e;70;e
;;;South America;40;e;90;e;125;e
;;;Asia;1455;e;1040;e;2495;e
;;;South West Asia;780;e;465;e;1245;e
;;;South and South East Asia;345;e;355;e;705;e
;;;East and Central Asia;330;e;215;e;545;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;3455;e;3020;e;6475;e
;;;Territory of former Yugoslavia;2080;e;1860;e;3940;e
;;;Territory of former Serbia and Montenegro;850;e;705;e;1555;e
;;;Territory of the former Soviet Union;890;e;1390;e;2280;e
;;;Territory of former Czechoslovakia;105;e;140;e;245;e
;;;United Kingdom incl. British overseas territories;30;e;20;e;55;e
;09262;Passau, kreisfreie Stadt;Total;7540;e;6500;e;14040;e
;;;videlicet:;;;;;;
;;;Europe;4865;e;4740;e;9605;e
;;;EU-27 (since 2020-02-01);3240;e;3125;e;6360;e
;;;EU-27 third countries (since 2020-02-01);4300;e;3380;e;7680;e
;;;EU-28 (until 2020-01-31);3255;e;3135;e;6390;e
;;;EU-28 third countries (until 2020-01-31);4285;e;3365;e;7650;e
;;;EU-27 (until 2013-06-30);2655;e;2620;e;5275;e
;;;EU-27 third countries (until 2013-06-30);4885;e;3880;e;8770;e
;;;EU-25 (until 2006-12-31);2035;e;2035;e;4070;e
;;;EU-25 third countries (until 2006-12-31);5505;e;4470;e;9975;e
;;;EU-15 (until 2004-04-30);1145;e;1125;e;2270;e
;;;EU-15 third countries (until 2004-04-30);6395;e;5375;e;11770;e
;;;EC-12 (until 1994-12-31);570;e;515;e;1080;e
;;;EC-12 third countries (until 1994-12-31);6970;e;5990;e;12960;e
;;;EC-10 (until 1985-12-31);460;e;390;e;850;e
;;;EC-10 third countries (until 1985-12-31);7080;e;6110;e;13190;e
;;;EC-9 (until 1980-12-31);395;e;330;e;725;e
;;;EC-9 third countries (until 1980-12-31);7145;e;6170;e;13315;e
;;;EEC-6 (until 1972-12-31);365;e;305;e;670;e
;;;EEC-6 third countries (until 1972-12-31);7175;e;6200;e;13375;e
;;;Africa;485;e;395;e;880;e
;;;North Africa;185;e;115;e;305;e
;;;West Africa;155;e;130;e;285;e
;;;Central Africa;10;e;15;e;20;e
;;;East Africa;130;e;125;e;260;e
;;;Southern Africa;5;e;5;e;15;e
;;;America;175;e;170;e;345;e
;;;North America;60;e;45;e;105;e
;;;Central America and Caribbean;30;e;30;e;65;e
;;;South America;80;e;90;e;175;e
;;;Asia;1965;e;1175;e;3140;e
;;;South West Asia;1105;e;540;e;1645;e
;;;South and South East Asia;375;e;300;e;675;e
;;;East and Central Asia;485;e;335;e;815;e
;;;Australia and Oceania;5;e;-;;10;e
;;;Countries of origin of foreign workers;2200;e;1665;e;3865;e
;;;Territory of former Yugoslavia;1255;e;1075;e;2330;e
;;;Territory of former Serbia and Montenegro;395;e;325;e;720;e
;;;Territory of the former Soviet Union;670;e;1025;e;1695;e
;;;Territory of former Czechoslovakia;295;e;330;e;625;e
;;;United Kingdom incl. British overseas territories;20;e;10;e;30;e
;09263;Straubing, kreisfreie Stadt;Total;6205;e;5495;e;11700;e
;;;videlicet:;;;;;;
;;;Europe;4860;e;4535;e;9395;e
;;;EU-27 (since 2020-02-01);3340;e;2815;e;6155;e
;;;EU-27 third countries (since 2020-02-01);2865;e;2680;e;5545;e
;;;EU-28 (until 2020-01-31);3345;e;2820;e;6160;e
;;;EU-28 third countries (until 2020-01-31);2860;e;2675;e;5535;e
;;;EU-27 (until 2013-06-30);3110;e;2635;e;5745;e
;;;EU-27 third countries (until 2013-06-30);3095;e;2860;e;5955;e
;;;EU-25 (until 2006-12-31);1120;e;985;e;2105;e
;;;EU-25 third countries (until 2006-12-31);5085;e;4510;e;9595;e
;;;EU-15 (until 2004-04-30);390;e;325;e;715;e
;;;EU-15 third countries (until 2004-04-30);5815;e;5170;e;10985;e
;;;EC-12 (until 1994-12-31);300;e;220;e;520;e
;;;EC-12 third countries (until 1994-12-31);5905;e;5275;e;11180;e
;;;EC-10 (until 1985-12-31);250;e;195;e;445;e
;;;EC-10 third countries (until 1985-12-31);5955;e;5300;e;11255;e
;;;EC-9 (until 1980-12-31);190;e;150;e;345;e
;;;EC-9 third countries (until 1980-12-31);6010;e;5340;e;11355;e
;;;EEC-6 (until 1972-12-31);180;e;150;e;330;e
;;;EEC-6 third countries (until 1972-12-31);6025;e;5345;e;11370;e
;;;Africa;250;e;210;e;460;e
;;;North Africa;40;e;30;e;70;e
;;;West Africa;100;e;95;e;195;e
;;;Central Africa;5;e;5;e;15;e
;;;East Africa;100;e;70;e;170;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;90;e;110;e;200;e
;;;North America;45;e;45;e;90;e
;;;Central America and Caribbean;20;e;20;e;40;e
;;;South America;25;e;45;e;70;e
;;;Asia;980;e;625;e;1605;e
;;;South West Asia;515;e;240;e;755;e
;;;South and South East Asia;225;e;195;e;420;e
;;;East and Central Asia;240;e;190;e;430;e
;;;Australia and Oceania;-;;5;e;5;e
;;;Countries of origin of foreign workers;1470;e;1240;e;2710;e
;;;Territory of former Yugoslavia;985;e;850;e;1835;e
;;;Territory of former Serbia and Montenegro;610;e;530;e;1145;e
;;;Territory of the former Soviet Union;565;e;900;e;1465;e
;;;Territory of former Czechoslovakia;190;e;175;e;365;e
;;;United Kingdom incl. British overseas territories;5;e;-;;5;e
;09271;Deggendorf, Landkreis;Total;11585;e;7985;e;19565;e
;;;videlicet:;;;;;;
;;;Europe;6825;e;5645;e;12470;e
;;;EU-27 (since 2020-02-01);4395;e;3125;e;7520;e
;;;EU-27 third countries (since 2020-02-01);7185;e;4860;e;12045;e
;;;EU-28 (until 2020-01-31);4410;e;3135;e;7545;e
;;;EU-28 third countries (until 2020-01-31);7175;e;4850;e;12025;e
;;;EU-27 (until 2013-06-30);3820;e;2780;e;6605;e
;;;EU-27 third countries (until 2013-06-30);7760;e;5200;e;12965;e
;;;EU-25 (until 2006-12-31);2440;e;1770;e;4210;e
;;;EU-25 third countries (until 2006-12-31);9145;e;6210;e;15355;e
;;;EU-15 (until 2004-04-30);740;e;560;e;1295;e
;;;EU-15 third countries (until 2004-04-30);10845;e;7425;e;18270;e
;;;EC-12 (until 1994-12-31);485;e;330;e;815;e
;;;EC-12 third countries (until 1994-12-31);11100;e;7655;e;18755;e
;;;EC-10 (until 1985-12-31);405;e;280;e;685;e
;;;EC-10 third countries (until 1985-12-31);11180;e;7705;e;18885;e
;;;EC-9 (until 1980-12-31);285;e;205;e;490;e
;;;EC-9 third countries (until 1980-12-31);11300;e;7780;e;19080;e
;;;EEC-6 (until 1972-12-31);260;e;185;e;445;e
;;;EEC-6 third countries (until 1972-12-31);11325;e;7800;e;19120;e
;;;Africa;860;e;425;e;1290;e
;;;North Africa;250;e;70;e;320;e
;;;West Africa;420;e;240;e;660;e
;;;Central Africa;45;e;20;e;60;e
;;;East Africa;145;e;90;e;235;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;140;e;150;e;290;e
;;;North America;45;e;30;e;70;e
;;;Central America and Caribbean;35;e;50;e;85;e
;;;South America;60;e;70;e;135;e
;;;Asia;3695;e;1735;e;5430;e
;;;South West Asia;2310;e;1045;e;3355;e
;;;South and South East Asia;915;e;405;e;1320;e
;;;East and Central Asia;470;e;280;e;755;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;2515;e;1760;e;4275;e
;;;Territory of former Yugoslavia;1430;e;1060;e;2490;e
;;;Territory of former Serbia and Montenegro;550;e;460;e;1010;e
;;;Territory of the former Soviet Union;1500;e;1825;e;3330;e
;;;Territory of former Czechoslovakia;425;e;315;e;740;e
;;;United Kingdom incl. British overseas territories;15;e;10;e;20;e
;09272;Freyung-Grafenau, Landkreis;Total;3250;e;2885;e;6135;e
;;;videlicet:;;;;;;
;;;Europe;2450;e;2390;e;4840;e
;;;EU-27 (since 2020-02-01);1830;e;1575;e;3400;e
;;;EU-27 third countries (since 2020-02-01);1420;e;1315;e;2735;e
;;;EU-28 (until 2020-01-31);1850;e;1590;e;3440;e
;;;EU-28 third countries (until 2020-01-31);1400;e;1295;e;2695;e
;;;EU-27 (until 2013-06-30);1395;e;1260;e;2650;e
;;;EU-27 third countries (until 2013-06-30);1855;e;1630;e;3485;e
;;;EU-25 (until 2006-12-31);1145;e;1070;e;2215;e
;;;EU-25 third countries (until 2006-12-31);2105;e;1815;e;3920;e
;;;EU-15 (until 2004-04-30);365;e;325;e;690;e
;;;EU-15 third countries (until 2004-04-30);2885;e;2565;e;5445;e
;;;EC-12 (until 1994-12-31);175;e;110;e;285;e
;;;EC-12 third countries (until 1994-12-31);3075;e;2780;e;5850;e
;;;EC-10 (until 1985-12-31);160;e;105;e;270;e
;;;EC-10 third countries (until 1985-12-31);3085;e;2780;e;5865;e
;;;EC-9 (until 1980-12-31);145;e;90;e;235;e
;;;EC-9 third countries (until 1980-12-31);3105;e;2795;e;5900;e
;;;EEC-6 (until 1972-12-31);115;e;70;e;185;e
;;;EEC-6 third countries (until 1972-12-31);3130;e;2815;e;5950;e
;;;Africa;115;e;100;e;215;e
;;;North Africa;20;e;15;e;35;e
;;;West Africa;35;e;35;e;70;e
;;;Central Africa;10;e;15;e;25;e
;;;East Africa;45;e;35;e;75;e
;;;Southern Africa;-;;5;e;5;e
;;;America;20;e;45;e;65;e
;;;North America;10;e;20;e;30;e
;;;Central America and Caribbean;-;;5;e;5;e
;;;South America;10;e;20;e;30;e
;;;Asia;650;e;340;e;990;e
;;;South West Asia;440;e;160;e;600;e
;;;South and South East Asia;75;e;95;e;170;e
;;;East and Central Asia;140;e;85;e;225;e
;;;Australia and Oceania;-;;-;;5;e
;;;Countries of origin of foreign workers;745;e;525;e;1275;e
;;;Territory of former Yugoslavia;605;e;450;e;1055;e
;;;Territory of former Serbia and Montenegro;90;e;65;e;155;e
;;;Territory of the former Soviet Union;480;e;715;e;1190;e
;;;Territory of former Czechoslovakia;340;e;370;e;710;e
;;;United Kingdom incl. British overseas territories;20;e;15;e;40;e
;09273;Kelheim, Landkreis;Total;11265;e;8835;e;20100;e
;;;videlicet:;;;;;;
;;;Europe;9340;e;7470;e;16805;e
;;;EU-27 (since 2020-02-01);5890;e;4100;e;9990;e
;;;EU-27 third countries (since 2020-02-01);5375;e;4735;e;10110;e
;;;EU-28 (until 2020-01-31);5910;e;4110;e;10020;e
;;;EU-28 third countries (until 2020-01-31);5355;e;4725;e;10085;e
;;;EU-27 (until 2013-06-30);5185;e;3625;e;8810;e
;;;EU-27 third countries (until 2013-06-30);6080;e;5210;e;11290;e
;;;EU-25 (until 2006-12-31);3305;e;2220;e;5525;e
;;;EU-25 third countries (until 2006-12-31);7960;e;6615;e;14575;e
;;;EU-15 (until 2004-04-30);800;e;555;e;1355;e
;;;EU-15 third countries (until 2004-04-30);10465;e;8280;e;18745;e
;;;EC-12 (until 1994-12-31);635;e;425;e;1060;e
;;;EC-12 third countries (until 1994-12-31);10630;e;8410;e;19040;e
;;;EC-10 (until 1985-12-31);530;e;360;e;890;e
;;;EC-10 third countries (until 1985-12-31);10735;e;8475;e;19210;e
;;;EC-9 (until 1980-12-31);420;e;260;e;680;e
;;;EC-9 third countries (until 1980-12-31);10845;e;8575;e;19425;e
;;;EEC-6 (until 1972-12-31);390;e;240;e;625;e
;;;EEC-6 third countries (until 1972-12-31);10880;e;8595;e;19475;e
;;;Africa;210;e;180;e;390;e
;;;North Africa;60;e;60;e;120;e
;;;West Africa;90;e;60;e;145;e
;;;Central Africa;15;e;15;e;25;e
;;;East Africa;40;e;45;e;85;e
;;;Southern Africa;5;e;5;e;15;e
;;;America;100;e;150;e;245;e
;;;North America;55;e;50;e;105;e
;;;Central America and Caribbean;15;e;30;e;45;e
;;;South America;30;e;70;e;100;e
;;;Asia;1580;e;1005;e;2590;e
;;;South West Asia;1165;e;525;e;1690;e
;;;South and South East Asia;155;e;265;e;420;e
;;;East and Central Asia;260;e;220;e;480;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;4140;e;3365;e;7510;e
;;;Territory of former Yugoslavia;2750;e;2210;e;4960;e
;;;Territory of former Serbia and Montenegro;1545;e;1275;e;2820;e
;;;Territory of the former Soviet Union;635;e;940;e;1575;e
;;;Territory of former Czechoslovakia;390;e;305;e;695;e
;;;United Kingdom incl. British overseas territories;20;e;10;e;30;e
;09274;Landshut, Landkreis;Total;11900;e;9540;e;21440;e
;;;videlicet:;;;;;;
;;;Europe;10080;e;8075;e;18150;e
;;;EU-27 (since 2020-02-01);7420;e;5255;e;12675;e
;;;EU-27 third countries (since 2020-02-01);4480;e;4285;e;8765;e
;;;EU-28 (until 2020-01-31);7455;e;5285;e;12740;e
;;;EU-28 third countries (until 2020-01-31);4445;e;4255;e;8700;e
;;;EU-27 (until 2013-06-30);6640;e;4735;e;11375;e
;;;EU-27 third countries (until 2013-06-30);5260;e;4805;e;10065;e
;;;EU-25 (until 2006-12-31);4155;e;2910;e;7065;e
;;;EU-25 third countries (until 2006-12-31);7745;e;6630;e;14375;e
;;;EU-15 (until 2004-04-30);1240;e;1005;e;2245;e
;;;EU-15 third countries (until 2004-04-30);10660;e;8535;e;19195;e
;;;EC-12 (until 1994-12-31);890;e;640;e;1530;e
;;;EC-12 third countries (until 1994-12-31);11010;e;8900;e;19910;e
;;;EC-10 (until 1985-12-31);785;e;565;e;1350;e
;;;EC-10 third countries (until 1985-12-31);11115;e;8975;e;20090;e
;;;EC-9 (until 1980-12-31);655;e;480;e;1135;e
;;;EC-9 third countries (until 1980-12-31);11245;e;9060;e;20305;e
;;;EEC-6 (until 1972-12-31);605;e;435;e;1040;e
;;;EEC-6 third countries (until 1972-12-31);11295;e;9105;e;20400;e
;;;Africa;420;e;360;e;775;e
;;;North Africa;80;e;60;e;140;e
;;;West Africa;210;e;180;e;395;e
;;;Central Africa;15;e;15;e;25;e
;;;East Africa;95;e;85;e;185;e
;;;Southern Africa;15;e;20;e;35;e
;;;America;110;e;165;e;275;e
;;;North America;55;e;55;e;110;e
;;;Central America and Caribbean;20;e;35;e;55;e
;;;South America;35;e;75;e;110;e
;;;Asia;1250;e;915;e;2165;e
;;;South West Asia;800;e;425;e;1225;e
;;;South and South East Asia;185;e;285;e;470;e
;;;East and Central Asia;260;e;205;e;465;e
;;;Australia and Oceania;10;e;10;e;20;e
;;;Countries of origin of foreign workers;3445;e;2670;e;6115;e
;;;Territory of former Yugoslavia;1970;e;1555;e;3525;e
;;;Territory of former Serbia and Montenegro;755;e;600;e;1355;e
;;;Territory of the former Soviet Union;905;e;1345;e;2250;e
;;;Territory of former Czechoslovakia;355;e;260;e;615;e
;;;United Kingdom incl. British overseas territories;35;e;30;e;65;e
;09275;Passau, Landkreis;Total;12375;e;10390;e;22765;e
;;;videlicet:;;;;;;
;;;Europe;9520;e;8250;e;17770;e
;;;EU-27 (since 2020-02-01);7430;e;5765;e;13195;e
;;;EU-27 third countries (since 2020-02-01);4945;e;4630;e;9570;e
;;;EU-28 (until 2020-01-31);7465;e;5785;e;13255;e
;;;EU-28 third countries (until 2020-01-31);4910;e;4605;e;9510;e
;;;EU-27 (until 2013-06-30);6255;e;4965;e;11220;e
;;;EU-27 third countries (until 2013-06-30);6120;e;5425;e;11545;e
;;;EU-25 (until 2006-12-31);4620;e;3715;e;8335;e
;;;EU-25 third countries (until 2006-12-31);7755;e;6675;e;14430;e
;;;EU-15 (until 2004-04-30);1940;e;1710;e;3655;e
;;;EU-15 third countries (until 2004-04-30);10430;e;8680;e;19110;e
;;;EC-12 (until 1994-12-31);705;e;450;e;1155;e
;;;EC-12 third countries (until 1994-12-31);11670;e;9940;e;21610;e
;;;EC-10 (until 1985-12-31);620;e;395;e;1010;e
;;;EC-10 third countries (until 1985-12-31);11755;e;9995;e;21755;e
;;;EC-9 (until 1980-12-31);480;e;295;e;775;e
;;;EC-9 third countries (until 1980-12-31);11895;e;10095;e;21990;e
;;;EEC-6 (until 1972-12-31);435;e;265;e;700;e
;;;EEC-6 third countries (until 1972-12-31);11940;e;10125;e;22065;e
;;;Africa;510;e;440;e;945;e
;;;North Africa;115;e;65;e;180;e
;;;West Africa;225;e;180;e;400;e
;;;Central Africa;30;e;35;e;65;e
;;;East Africa;130;e;140;e;275;e
;;;Southern Africa;10;e;15;e;25;e
;;;America;100;e;135;e;235;e
;;;North America;50;e;50;e;100;e
;;;Central America and Caribbean;20;e;30;e;50;e
;;;South America;30;e;55;e;85;e
;;;Asia;2180;e;1530;e;3710;e
;;;South West Asia;1505;e;895;e;2400;e
;;;South and South East Asia;245;e;315;e;560;e
;;;East and Central Asia;430;e;320;e;750;e
;;;Australia and Oceania;10;e;5;e;20;e
;;;Countries of origin of foreign workers;2915;e;2085;e;5005;e
;;;Territory of former Yugoslavia;2150;e;1625;e;3775;e
;;;Territory of former Serbia and Montenegro;515;e;405;e;920;e
;;;Territory of the former Soviet Union;1210;e;1780;e;2990;e
;;;Territory of former Czechoslovakia;680;e;545;e;1225;e
;;;United Kingdom incl. British overseas territories;35;e;25;e;60;e
;09276;Regen, Landkreis;Total;3785;e;3345;e;7130;e
;;;videlicet:;;;;;;
;;;Europe;2525;e;2475;e;5000;e
;;;EU-27 (since 2020-02-01);2005;e;1715;e;3720;e
;;;EU-27 third countries (since 2020-02-01);1785;e;1630;e;3410;e
;;;EU-28 (until 2020-01-31);2020;e;1735;e;3755;e
;;;EU-28 third countries (until 2020-01-31);1765;e;1610;e;3375;e
;;;EU-27 (until 2013-06-30);1855;e;1610;e;3465;e
;;;EU-27 third countries (until 2013-06-30);1930;e;1735;e;3665;e
;;;EU-25 (until 2006-12-31);1375;e;1250;e;2625;e
;;;EU-25 third countries (until 2006-12-31);2410;e;2095;e;4510;e
;;;EU-15 (until 2004-04-30);385;e;260;e;645;e
;;;EU-15 third countries (until 2004-04-30);3405;e;3085;e;6490;e
;;;EC-12 (until 1994-12-31);275;e;170;e;445;e
;;;EC-12 third countries (until 1994-12-31);3510;e;3175;e;6685;e
;;;EC-10 (until 1985-12-31);240;e;155;e;395;e
;;;EC-10 third countries (until 1985-12-31);3550;e;3190;e;6740;e
;;;EC-9 (until 1980-12-31);195;e;120;e;315;e
;;;EC-9 third countries (until 1980-12-31);3590;e;3225;e;6815;e
;;;EEC-6 (until 1972-12-31);170;e;100;e;270;e
;;;EEC-6 third countries (until 1972-12-31);3615;e;3245;e;6860;e
;;;Africa;180;e;75;e;255;e
;;;North Africa;40;e;10;e;50;e
;;;West Africa;65;e;25;e;90;e
;;;Central Africa;10;e;10;e;20;e
;;;East Africa;65;e;30;e;90;e
;;;Southern Africa;-;;-;;-;
;;;America;25;e;60;e;85;e
;;;North America;10;e;20;e;30;e
;;;Central America and Caribbean;-;;10;e;10;e
;;;South America;15;e;30;e;40;e
;;;Asia;1020;e;720;e;1740;e
;;;South West Asia;830;e;555;e;1390;e
;;;South and South East Asia;75;e;100;e;175;e
;;;East and Central Asia;115;e;60;e;175;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;585;e;405;e;990;e
;;;Territory of former Yugoslavia;320;e;255;e;575;e
;;;Territory of former Serbia and Montenegro;120;e;85;e;205;e
;;;Territory of the former Soviet Union;355;e;600;e;955;e
;;;Territory of former Czechoslovakia;525;e;605;e;1130;e
;;;United Kingdom incl. British overseas territories;15;e;20;e;35;e
;09277;Rottal-Inn, Landkreis;Total;9835;e;7410;e;17245;e
;;;videlicet:;;;;;;
;;;Europe;7740;e;6000;e;13740;e
;;;EU-27 (since 2020-02-01);5755;e;3790;e;9545;e
;;;EU-27 third countries (since 2020-02-01);4085;e;3620;e;7700;e
;;;EU-28 (until 2020-01-31);5775;e;3810;e;9580;e
;;;EU-28 third countries (until 2020-01-31);4065;e;3600;e;7665;e
;;;EU-27 (until 2013-06-30);5175;e;3430;e;8605;e
;;;EU-27 third countries (until 2013-06-30);4665;e;3980;e;8645;e
;;;EU-25 (until 2006-12-31);3705;e;2295;e;6000;e
;;;EU-25 third countries (until 2006-12-31);6135;e;5115;e;11250;e
;;;EU-15 (until 2004-04-30);1365;e;1250;e;2615;e
;;;EU-15 third countries (until 2004-04-30);8470;e;6160;e;14630;e
;;;EC-12 (until 1994-12-31);520;e;320;e;840;e
;;;EC-12 third countries (until 1994-12-31);9320;e;7090;e;16405;e
;;;EC-10 (until 1985-12-31);455;e;285;e;740;e
;;;EC-10 third countries (until 1985-12-31);9380;e;7125;e;16505;e
;;;EC-9 (until 1980-12-31);395;e;245;e;635;e
;;;EC-9 third countries (until 1980-12-31);9445;e;7165;e;16610;e
;;;EEC-6 (until 1972-12-31);370;e;220;e;590;e
;;;EEC-6 third countries (until 1972-12-31);9465;e;7190;e;16655;e
;;;Africa;425;e;305;e;730;e
;;;North Africa;100;e;55;e;155;e
;;;West Africa;205;e;150;e;350;e
;;;Central Africa;15;e;15;e;30;e
;;;East Africa;90;e;75;e;160;e
;;;Southern Africa;15;e;15;e;30;e
;;;America;65;e;95;e;165;e
;;;North America;15;e;25;e;40;e
;;;Central America and Caribbean;15;e;25;e;35;e
;;;South America;35;e;50;e;85;e
;;;Asia;1545;e;960;e;2510;e
;;;South West Asia;1075;e;555;e;1635;e
;;;South and South East Asia;300;e;295;e;595;e
;;;East and Central Asia;165;e;110;e;280;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;2315;e;1740;e;4055;e
;;;Territory of former Yugoslavia;1590;e;1220;e;2810;e
;;;Territory of former Serbia and Montenegro;605;e;500;e;1110;e
;;;Territory of the former Soviet Union;795;e;1205;e;2000;e
;;;Territory of former Czechoslovakia;255;e;275;e;530;e
;;;United Kingdom incl. British overseas territories;20;e;15;e;35;e
;09278;Straubing-Bogen, Landkreis;Total;5730;e;4525;e;10255;e
;;;videlicet:;;;;;;
;;;Europe;4690;e;3860;e;8550;e
;;;EU-27 (since 2020-02-01);3915;e;2940;e;6850;e
;;;EU-27 third countries (since 2020-02-01);1820;e;1585;e;3405;e
;;;EU-28 (until 2020-01-31);3920;e;2945;e;6865;e
;;;EU-28 third countries (until 2020-01-31);1810;e;1580;e;3390;e
;;;EU-27 (until 2013-06-30);3575;e;2650;e;6230;e
;;;EU-27 third countries (until 2013-06-30);2155;e;1870;e;4025;e
;;;EU-25 (until 2006-12-31);1655;e;1255;e;2910;e
;;;EU-25 third countries (until 2006-12-31);4075;e;3270;e;7345;e
;;;EU-15 (until 2004-04-30);370;e;285;e;655;e
;;;EU-15 third countries (until 2004-04-30);5360;e;4235;e;9600;e
;;;EC-12 (until 1994-12-31);240;e;165;e;410;e
;;;EC-12 third countries (until 1994-12-31);5490;e;4355;e;9845;e
;;;EC-10 (until 1985-12-31);220;e;140;e;360;e
;;;EC-10 third countries (until 1985-12-31);5515;e;4380;e;9895;e
;;;EC-9 (until 1980-12-31);155;e;105;e;260;e
;;;EC-9 third countries (until 1980-12-31);5575;e;4420;e;9995;e
;;;EEC-6 (until 1972-12-31);145;e;95;e;240;e
;;;EEC-6 third countries (until 1972-12-31);5585;e;4425;e;10010;e
;;;Africa;120;e;100;e;215;e
;;;North Africa;20;e;10;e;30;e
;;;West Africa;35;e;30;e;65;e
;;;Central Africa;20;e;20;e;35;e
;;;East Africa;40;e;30;e;75;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;45;e;65;e;110;e
;;;North America;35;e;20;e;55;e
;;;Central America and Caribbean;5;e;20;e;25;e
;;;South America;5;e;25;e;30;e
;;;Asia;855;e;485;e;1340;e
;;;South West Asia;605;e;255;e;860;e
;;;South and South East Asia;65;e;95;e;160;e
;;;East and Central Asia;185;e;140;e;325;e
;;;Australia and Oceania;-;;5;e;5;e
;;;Countries of origin of foreign workers;955;e;760;e;1710;e
;;;Territory of former Yugoslavia;645;e;550;e;1195;e
;;;Territory of former Serbia and Montenegro;180;e;165;e;340;e
;;;Territory of the former Soviet Union;400;e;625;e;1025;e
;;;Territory of former Czechoslovakia;280;e;220;e;505;e
;;;United Kingdom incl. British overseas territories;10;e;5;e;15;e
;09279;Dingolfing-Landau, Landkreis;Total;10860;e;7245;e;18100;e
