Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;Countries of origin of foreign workers;1675;e;1110;e;2785;e
;;;Territory of former Yugoslavia;470;e;410;e;880;e
;;;Territory of former Serbia and Montenegro;250;e;235;e;485;e
;;;Territory of the former Soviet Union;1630;e;2525;e;4155;e
;;;Territory of former Czechoslovakia;55;e;85;e;140;e
;;;United Kingdom incl. British overseas territories;65;e;35;e;100;e
;01056;Pinneberg, Landkreis;Total;25660;e;24085;e;49745;e
;;;videlicet:;;;;;;
;;;Europe;15975;e;15695;e;31670;e
;;;EU-27 (since 2020-02-01);8655;e;7700;e;16355;e
;;;EU-27 third countries (since 2020-02-01);17005;e;16385;e;33390;e
;;;EU-28 (until 2020-01-31);8855;e;7800;e;16655;e
;;;EU-28 third countries (until 2020-01-31);16805;e;16285;e;33090;e
;;;EU-27 (until 2013-06-30);8510;e;7505;e;16015;e
;;;EU-27 third countries (until 2013-06-30);17150;e;16580;e;33730;e
;;;EU-25 (until 2006-12-31);5985;e;5410;e;11395;e
;;;EU-25 third countries (until 2006-12-31);19675;e;18675;e;38350;e
;;;EU-15 (until 2004-04-30);3155;e;2790;e;5950;e
;;;EU-15 third countries (until 2004-04-30);22500;e;21295;e;43795;e
;;;EC-12 (until 1994-12-31);2855;e;2340;e;5200;e
;;;EC-12 third countries (until 1994-12-31);22800;e;21745;e;44545;e
;;;EC-10 (until 1985-12-31);1955;e;1575;e;3530;e
;;;EC-10 third countries (until 1985-12-31);23705;e;22510;e;46215;e
;;;EC-9 (until 1980-12-31);1385;e;1105;e;2495;e
;;;EC-9 third countries (until 1980-12-31);24270;e;22980;e;47250;e
;;;EEC-6 (until 1972-12-31);1025;e;780;e;1805;e
;;;EEC-6 third countries (until 1972-12-31);24635;e;23305;e;47940;e
;;;Africa;1370;e;965;e;2340;e
;;;North Africa;465;e;225;e;690;e
;;;West Africa;540;e;405;e;940;e
;;;Central Africa;50;e;60;e;110;e
;;;East Africa;300;e;235;e;535;e
;;;Southern Africa;25;e;40;e;60;e
;;;America;415;e;590;e;1005;e
;;;North America;180;e;180;e;360;e
;;;Central America and Caribbean;55;e;110;e;170;e
;;;South America;180;e;300;e;480;e
;;;Asia;7660;e;6635;e;14300;e
;;;South West Asia;4025;e;3125;e;7150;e
;;;South and South East Asia;1055;e;1255;e;2310;e
;;;East and Central Asia;2585;e;2255;e;4840;e
;;;Australia and Oceania;40;e;20;e;65;e
;;;Countries of origin of foreign workers;7180;e;6075;e;13255;e
;;;Territory of former Yugoslavia;1695;e;1525;e;3220;e
;;;Territory of former Serbia and Montenegro;620;e;620;e;1240;e
;;;Territory of the former Soviet Union;2830;e;4300;e;7125;e
;;;Territory of former Czechoslovakia;85;e;105;e;195;e
;;;United Kingdom incl. British overseas territories;200;e;105;e;305;e
;01057;Plön, Landkreis;Total;4415;e;4290;e;8705;e
;;;videlicet:;;;;;;
;;;Europe;2235;e;2595;e;4835;e
;;;EU-27 (since 2020-02-01);980;e;845;e;1820;e
;;;EU-27 third countries (since 2020-02-01);3435;e;3450;e;6885;e
;;;EU-28 (until 2020-01-31);1030;e;870;e;1900;e
;;;EU-28 third countries (until 2020-01-31);3385;e;3420;e;6810;e
;;;EU-27 (until 2013-06-30);1015;e;865;e;1875;e
;;;EU-27 third countries (until 2013-06-30);3400;e;3430;e;6830;e
;;;EU-25 (until 2006-12-31);750;e;755;e;1505;e
;;;EU-25 third countries (until 2006-12-31);3665;e;3535;e;7200;e
;;;EU-15 (until 2004-04-30);400;e;420;e;820;e
;;;EU-15 third countries (until 2004-04-30);4015;e;3875;e;7885;e
;;;EC-12 (until 1994-12-31);345;e;295;e;640;e
;;;EC-12 third countries (until 1994-12-31);4070;e;3995;e;8065;e
;;;EC-10 (until 1985-12-31);290;e;255;e;545;e
;;;EC-10 third countries (until 1985-12-31);4125;e;4040;e;8160;e
;;;EC-9 (until 1980-12-31);255;e;230;e;480;e
;;;EC-9 third countries (until 1980-12-31);4160;e;4065;e;8225;e
;;;EEC-6 (until 1972-12-31);160;e;140;e;300;e
;;;EEC-6 third countries (until 1972-12-31);4255;e;4155;e;8410;e
;;;Africa;210;e;160;e;375;e
;;;North Africa;55;e;20;e;75;e
;;;West Africa;15;e;20;e;35;e
;;;Central Africa;10;e;15;e;25;e
;;;East Africa;125;e;100;e;225;e
;;;Southern Africa;5;e;10;e;15;e
;;;America;85;e;140;e;225;e
;;;North America;45;e;60;e;100;e
;;;Central America and Caribbean;15;e;15;e;30;e
;;;South America;25;e;65;e;95;e
;;;Asia;1800;e;1320;e;3120;e
;;;South West Asia;1335;e;945;e;2280;e
;;;South and South East Asia;65;e;130;e;195;e
;;;East and Central Asia;400;e;250;e;650;e
;;;Australia and Oceania;15;e;10;e;25;e
;;;Countries of origin of foreign workers;635;e;510;e;1145;e
;;;Territory of former Yugoslavia;170;e;155;e;320;e
;;;Territory of former Serbia and Montenegro;90;e;100;e;185;e
;;;Territory of the former Soviet Union;910;e;1500;e;2410;e
;;;Territory of former Czechoslovakia;20;e;15;e;35;e
;;;United Kingdom incl. British overseas territories;50;e;25;e;75;e
;01058;Rendsburg-Eckernförde, Landkreis;Total;12030;e;10065;e;22095;e
;;;videlicet:;;;;;;
;;;Europe;6425;e;5985;e;12415;e
;;;EU-27 (since 2020-02-01);3150;e;2185;e;5335;e
;;;EU-27 third countries (since 2020-02-01);8875;e;7880;e;16755;e
;;;EU-28 (until 2020-01-31);3230;e;2225;e;5455;e
;;;EU-28 third countries (until 2020-01-31);8800;e;7840;e;16640;e
;;;EU-27 (until 2013-06-30);3065;e;2125;e;5185;e
;;;EU-27 third countries (until 2013-06-30);8965;e;7940;e;16905;e
;;;EU-25 (until 2006-12-31);2385;e;1780;e;4165;e
;;;EU-25 third countries (until 2006-12-31);9645;e;8285;e;17925;e
;;;EU-15 (until 2004-04-30);940;e;910;e;1850;e
;;;EU-15 third countries (until 2004-04-30);11090;e;9155;e;20245;e
;;;EC-12 (until 1994-12-31);805;e;700;e;1500;e
;;;EC-12 third countries (until 1994-12-31);11225;e;9365;e;20590;e
;;;EC-10 (until 1985-12-31);665;e;595;e;1260;e
;;;EC-10 third countries (until 1985-12-31);11365;e;9470;e;20830;e
;;;EC-9 (until 1980-12-31);535;e;510;e;1040;e
;;;EC-9 third countries (until 1980-12-31);11495;e;9555;e;21050;e
;;;EEC-6 (until 1972-12-31);335;e;250;e;585;e
;;;EEC-6 third countries (until 1972-12-31);11695;e;9815;e;21510;e
;;;Africa;390;e;320;e;710;e
;;;North Africa;110;e;65;e;175;e
;;;West Africa;60;e;55;e;115;e
;;;Central Africa;20;e;15;e;30;e
;;;East Africa;185;e;170;e;355;e
;;;Southern Africa;20;e;20;e;40;e
;;;America;165;e;255;e;420;e
;;;North America;90;e;125;e;210;e
;;;Central America and Caribbean;30;e;35;e;65;e
;;;South America;50;e;95;e;140;e
;;;Asia;4920;e;3425;e;8340;e
;;;South West Asia;3700;e;2510;e;6210;e
;;;South and South East Asia;205;e;295;e;500;e
;;;East and Central Asia;1015;e;620;e;1635;e
;;;Australia and Oceania;25;e;20;e;45;e
;;;Countries of origin of foreign workers;2080;e;1615;e;3695;e
;;;Territory of former Yugoslavia;695;e;530;e;1220;e
